Make,Fuel,EngineCylinders,AverageHighwayMPG,AverageCityMPG,EngineDisplacement
Mercedes-Benz,Gasoline,4,30,23,2.1
Mercedes-Benz,Electricity,0,82,85,0
MINI,Gasoline,4,33,24,1.5
Mitsubishi,Gasoline,6,27,20,2.2
Mitsubishi,Gasoline,4,31,24,2
Mitsubishi,Gasoline,3,42,35,1
Mitsubishi,Electricity,0,102,121,0
Nissan,Gasoline,8,20,14,5.5
Nissan,Gasoline,6,26,18,2.9
Nissan,Gasoline,6,25,18,2.9
Nissan,Gasoline,4,31,26,1.5
Nissan,Gasoline,4,33,26,1.2
Nissan,Electricity,0,101,124,0
Porsche,Gasoline,8,21,14,5.4
Porsche,Gasoline,6,26,19,3
Porsche,Gasoline,4,27,21,2.2
Ram,Gasoline,8,21,14,5
Ram,Gasoline,6,24,17,3
Ram,Gasoline,4,28,21,2
Rolls-Royce,Gasoline,12,19,12,6.4
Roush Performance,Gasoline,8,23,14,5
smart,Gasoline,3,39,32,1.1
Subaru,Gasoline,6,28,20,2.5
Subaru,Gasoline,4,27,21,2
Subaru,Gasoline,4,33,25,1.6
Tesla,Electricity,0,98,92,0
Toyota,Gasoline,8,18,13,5.5
Toyota,Gasoline,6,25,20,2.5
Toyota,Gasoline,4,30,23,2
Toyota,Gasoline,4,35,32,1
Volkswagen,Gasoline,6,25,18,3.3
Volkswagen,Gasoline,4,28,21,2
Volkswagen,Gasoline,4,33,24,2
Volvo,Gasoline,4,29,22,2.2
Volvo,Gasoline,4,32,23,2
